,0,1,2,3,4,Decision
ABBV,0.1406,0.2508,0.2232,0.2466,0.1388,0.02257
ACN,0.2768,0.1656,0.1166,0.17,0.271,-0.00382
AEP,0.1082,0.2788,0.2334,0.2666,0.113,0.01889
AIZ,0.16,0.2404,0.2022,0.2382,0.1592,0.01127
ALLE,0.2114,0.218,0.1528,0.2102,0.2076,-0.00141
AMAT,0.365,0.1042,0.0724,0.1088,0.3496,-0.00034
AMP,0.2446,0.1866,0.1388,0.1954,0.2346,-0.00098
AMZN,0.2892,0.158,0.104,0.1594,0.2894,0.0061
AVB,0.1722,0.2354,0.1856,0.2378,0.169,0.01114
AVY,0.2346,0.1898,0.1376,0.195,0.243,-0.00539
AXP,0.3156,0.1274,0.0988,0.139,0.3192,0.00911
BDX,0.1518,0.256,0.1928,0.2346,0.1648,0.01154
BF-B,0.1744,0.2258,0.1948,0.234,0.171,0.00866
BMY,0.1804,0.225,0.1808,0.2286,0.1852,0.01137
BR,0.2842,0.1614,0.1218,0.1618,0.2708,-0.00419
CARR,0.2444,0.1868,0.1398,0.1914,0.2376,-0.00632
CDW,0.2436,0.1946,0.1374,0.1952,0.2292,0.00614
CE,0.232,0.1944,0.141,0.1996,0.233,0.00186
CHTR,0.2652,0.1724,0.1302,0.1628,0.2694,0.00135
CNC,0.256,0.1804,0.1382,0.1782,0.2472,0.00804
CNP,0.117,0.2732,0.2286,0.2602,0.121,0.01214
COP,0.3056,0.146,0.0986,0.1394,0.3104,0.00743
CTAS,0.2258,0.208,0.1356,0.1982,0.2324,0.00178
CZR,0.3722,0.0944,0.0608,0.0944,0.3782,0.00135
DG,0.2556,0.1794,0.1272,0.1786,0.2592,0.01522
DPZ,0.312,0.1376,0.1048,0.1336,0.312,0.00733
DRE,0.2076,0.2212,0.1584,0.2114,0.2014,0.00919
DXC,0.2854,0.1518,0.1202,0.171,0.2716,-0.00687
FB,0.2942,0.1504,0.108,0.1564,0.291,-0.00203
FTV,0.1836,0.2352,0.176,0.2252,0.18,0.00639
GOOG,0.3068,0.1556,0.1014,0.1442,0.292,0.00663
GPC,0.207,0.2192,0.1578,0.2072,0.2088,0.00856
HIG,0.1728,0.2342,0.1854,0.2358,0.1718,0.00891
HST,0.2764,0.175,0.104,0.1628,0.2818,0.00388
JPM,0.2548,0.1818,0.1272,0.1756,0.2606,0.00299
KR,0.3082,0.1456,0.0938,0.1416,0.3108,0.01416
OGN,0.2424,0.1816,0.1266,0.1978,0.2516,-0.00032
PG,0.1362,0.2602,0.2094,0.2532,0.141,0.01273
PPL,0.0324,0.2862,0.3714,0.2776,0.0324,0.02271
PRU,0.212,0.2048,0.1582,0.2112,0.2138,0.0068
PYPL,0.4244,0.0502,0.0326,0.05,0.4428,-0.00202
RE,0.1614,0.2424,0.2042,0.226,0.166,0.01004
ROL,0.2896,0.1524,0.1128,0.155,0.2902,-0.00234
ROST,0.2752,0.1716,0.114,0.1702,0.269,-0.0068
UNH,0.1932,0.2264,0.1754,0.2182,0.1868,0.01301
URI,0.3108,0.1422,0.1024,0.146,0.2986,0.0024
V,0.3194,0.1326,0.0884,0.1278,0.3318,0.00314
VRSK,0.2314,0.1956,0.1432,0.201,0.2288,0.00513
WRK,0.2672,0.1646,0.12,0.176,0.2722,-0.00864
XOM,0.2858,0.156,0.107,0.1646,0.2866,0.01606
IVV,0.153,0.2396,0.213,0.2484,0.146,0.00833
IWM,0.2416,0.188,0.1436,0.1906,0.2362,0.00473
EWU,0.0896,0.2822,0.2518,0.2802,0.0962,0.0137
EWG,0.1062,0.269,0.2358,0.2828,0.1062,0.00816
EWL,0.1,0.272,0.2406,0.2878,0.0996,0.00895
EWQ,0.1192,0.2622,0.2304,0.2594,0.1288,0.00954
IEUS,0.1538,0.242,0.1934,0.2508,0.16,0.00495
EWJ,0.1218,0.2662,0.2268,0.2678,0.1174,0.00887
EWT,0.1678,0.2384,0.1916,0.2228,0.1794,0.00843
MCHI,0.2658,0.1772,0.12,0.1704,0.2666,0.00502
INDA,0.1936,0.2156,0.1672,0.2216,0.202,0.00624
EWY,0.236,0.1936,0.1446,0.1878,0.238,-0.00252
EWA,0.1726,0.2372,0.18,0.2368,0.1734,0.00499
EWH,0.12,0.2538,0.2434,0.266,0.1168,0.01651
EWZ,0.2624,0.156,0.1322,0.179,0.2704,-0.00014
EWC,0.1558,0.2434,0.1914,0.2464,0.163,0.00534
IEMG,0.1676,0.239,0.1816,0.2434,0.1684,0.00505
LQD,0.004,0.2428,0.507,0.2438,0.0024,0.02381
HYG,0.0,0.152,0.7032,0.1448,0.0,0.02542
SHY,0.0,0.0,1.0,0.0,0.0,0.02967
IEF,0.002,0.2256,0.55,0.2214,0.001,0.02645
TLT,0.1162,0.2682,0.2382,0.2606,0.1168,0.02353
SEGA.L,0.3802,0.08,0.058,0.0822,0.3996,0.02346
IEAA.L,0.0,0.0292,0.9464,0.0244,0.0,0.03064
HIGH.L,0.0,0.1552,0.6892,0.1556,0.0,0.02758
JPEA.L,0.0072,0.2652,0.4616,0.261,0.005,0.02384
IAU,0.0716,0.2858,0.279,0.2864,0.0772,0.01741
SLV,0.195,0.2174,0.1696,0.208,0.21,0.00992
GSG,0.1468,0.2548,0.196,0.2466,0.1558,0.01403
REET,0.1108,0.2712,0.2384,0.2706,0.109,0.0092
ICLN,0.2798,0.1658,0.109,0.1634,0.282,0.00254
IXN,0.2436,0.1874,0.1338,0.1984,0.2368,0.00582
IGF,0.0516,0.289,0.3142,0.2914,0.0538,0.01184
IUVL.L,0.2228,0.2026,0.1538,0.2034,0.2174,0.00904
IUMO.L,0.2878,0.1504,0.1188,0.1628,0.2802,0.0048
SPMV.L,0.166,0.239,0.1942,0.2398,0.161,0.01251
IEVL.L,0.1742,0.2402,0.1816,0.2216,0.1824,0.01545
IEFM.L,0.506,0.0032,0.0018,0.0038,0.4852,-0.00012
MVEU.L,0.1112,0.2696,0.2452,0.2688,0.1052,0.0174
XLK,0.2532,0.1786,0.1324,0.1922,0.2436,0.00679
XLF,0.1636,0.2414,0.1896,0.2472,0.1582,0.00772
