ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.1846,0.222,0.1856,0.2242,0.1836,0.01062
ACN,0.2182,0.212,0.1436,0.2074,0.2188,0.00913
AEP,0.1414,0.2536,0.206,0.259,0.14,0.01236
AIZ,0.1818,0.2166,0.1868,0.2338,0.181,0.01082
ALLE,0.2208,0.2052,0.1482,0.1994,0.2264,0.00874
AMAT,0.338,0.1206,0.0784,0.1172,0.3458,0.00375
AMP,0.2426,0.1874,0.125,0.1898,0.2552,0.00758
AMZN,0.2516,0.1848,0.1272,0.1794,0.257,0.00733
AVB,0.1762,0.231,0.1788,0.2392,0.1748,0.0108
AVY,0.2232,0.1918,0.1594,0.2,0.2256,0.00875
AXP,0.289,0.1564,0.1102,0.155,0.2894,0.0061
BDX,0.1858,0.2282,0.1724,0.2306,0.183,0.01084
BF-B,0.1974,0.2074,0.1724,0.2144,0.2084,0.00976
BMY,0.189,0.2322,0.1732,0.2194,0.1862,0.01042
BR,0.2152,0.2038,0.1596,0.2068,0.2146,0.00937
CARR,0.2616,0.1808,0.128,0.1744,0.2552,0.00726
CDW,0.2456,0.1886,0.1406,0.1862,0.239,0.00829
CE,0.2518,0.1788,0.1362,0.1772,0.256,0.00745
CHTR,0.2394,0.1806,0.1442,0.1872,0.2486,0.00803
CNC,0.2856,0.1486,0.102,0.1554,0.3084,0.00571
CNP,0.1832,0.2364,0.1756,0.2132,0.1916,0.01056
COP,0.3182,0.1422,0.1024,0.1378,0.2994,0.00494
CTAS,0.2318,0.1866,0.15,0.2078,0.2238,0.00874
CZR,0.366,0.1022,0.0722,0.1008,0.3588,0.00288
DG,0.2044,0.2168,0.1656,0.2154,0.1978,0.00995
DPZ,0.2804,0.1656,0.1058,0.1668,0.2814,0.00646
DRE,0.1782,0.248,0.1782,0.2126,0.183,0.01081
DXC,0.3284,0.1332,0.0902,0.1276,0.3206,0.00414
FB,0.2884,0.1562,0.1056,0.16,0.2898,0.00594
FTV,0.1948,0.2196,0.1682,0.22,0.1974,0.00995
GOOG,0.2366,0.191,0.1502,0.1888,0.2334,0.00825
GPC,0.2122,0.2062,0.1614,0.2084,0.2118,0.00936
HIG,0.21,0.2108,0.1608,0.2048,0.2136,0.0092
HST,0.3038,0.1478,0.1018,0.1532,0.2934,0.00555
JPM,0.2304,0.1932,0.1412,0.1998,0.2354,0.00855
KR,0.299,0.149,0.104,0.1538,0.2942,0.00536
OGN,0.3286,0.1284,0.0778,0.1292,0.336,0.00392
PG,0.1224,0.2548,0.2302,0.2704,0.1222,0.01321
PPL,0.1286,0.2606,0.2316,0.2616,0.1176,0.0133
PRU,0.2362,0.1878,0.1384,0.1902,0.2474,0.00776
PYPL,0.3558,0.1066,0.0714,0.1064,0.3598,0.003
RE,0.2326,0.1954,0.13,0.1936,0.2484,0.00809
ROL,0.2658,0.1784,0.1224,0.1646,0.2688,0.00691
ROST,0.2812,0.153,0.1172,0.1614,0.2872,0.00626
UNH,0.187,0.2268,0.1684,0.2184,0.1994,0.0103
URI,0.3056,0.1384,0.0968,0.1472,0.312,0.00487
V,0.2594,0.1774,0.121,0.1708,0.2714,0.0071
VRSK,0.2186,0.198,0.1548,0.2078,0.2208,0.00921
WRK,0.2798,0.1456,0.1228,0.169,0.2828,0.00617
XOM,0.2808,0.1592,0.1268,0.156,0.2772,0.0063
IVV,0.1068,0.27,0.2402,0.28,0.103,0.01398
IWM,0.2134,0.2088,0.151,0.2164,0.2104,0.00926
EWU,0.1174,0.2658,0.237,0.2578,0.122,0.01311
EWG,0.1278,0.2518,0.2336,0.257,0.1298,0.01291
EWL,0.0842,0.2866,0.263,0.272,0.0942,0.01449
EWQ,0.1424,0.2538,0.201,0.2582,0.1446,0.01223
IEUS,0.1426,0.25,0.2016,0.251,0.1548,0.01226
EWJ,0.1398,0.2572,0.2058,0.2644,0.1328,0.01257
