ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.1926,0.2296,0.1676,0.227,0.1832,0.01153
ACN,0.22,0.194,0.1472,0.215,0.2238,-0.00275
AEP,0.1386,0.2558,0.208,0.2556,0.142,0.00992
AIZ,0.1864,0.2288,0.1774,0.2302,0.1772,0.00675
ALLE,0.2208,0.1992,0.1536,0.2,0.2264,-0.00623
AMAT,0.3528,0.1114,0.0724,0.1196,0.3438,-0.01053
AMP,0.2472,0.1848,0.1332,0.181,0.2538,-0.00403
AMZN,0.2648,0.1766,0.1234,0.1794,0.2558,0.00383
AVB,0.181,0.2254,0.178,0.2284,0.1872,0.00446
AVY,0.2246,0.1988,0.15,0.1974,0.2292,0.00072
AXP,0.2836,0.154,0.107,0.164,0.2914,-0.00021
BDX,0.1808,0.2246,0.1836,0.2344,0.1766,0.00975
BF-B,0.202,0.2118,0.1662,0.2164,0.2036,0.00536
BMY,0.192,0.2222,0.1716,0.229,0.1852,0.00678
BR,0.218,0.1958,0.1496,0.206,0.2306,-0.00223
CARR,0.2534,0.1808,0.1288,0.1692,0.2678,-0.01036
CDW,0.2296,0.2006,0.1442,0.1984,0.2272,0.00392
CE,0.2396,0.1816,0.1402,0.1876,0.251,-0.00421
CHTR,0.2392,0.1936,0.1378,0.1844,0.245,0.00494
CNC,0.2862,0.161,0.1096,0.151,0.2922,-0.00504
CNP,0.171,0.2324,0.1784,0.2388,0.1794,-0.00049
COP,0.3108,0.1422,0.0954,0.1472,0.3044,-0.00214
CTAS,0.2296,0.1994,0.1424,0.2052,0.2234,-0.00285
CZR,0.3568,0.103,0.0688,0.1074,0.364,-0.00829
DG,0.204,0.214,0.155,0.2222,0.2048,0.01339
DPZ,0.2908,0.1624,0.1062,0.1612,0.2794,0.00334
DRE,0.176,0.225,0.176,0.2328,0.1902,0.00151
DXC,0.3368,0.1194,0.0874,0.125,0.3314,-0.01321
FB,0.2782,0.1604,0.1182,0.1564,0.2868,-0.00232
FTV,0.204,0.2152,0.1646,0.2164,0.1998,-0.00077
GOOG,0.2398,0.2022,0.1278,0.1876,0.2426,-0.00069
GPC,0.2048,0.2084,0.1594,0.2168,0.2106,0.00336
HIG,0.216,0.2034,0.1544,0.2112,0.215,0.0052
HST,0.3006,0.1584,0.1016,0.145,0.2944,-0.00369
JPM,0.2264,0.204,0.1446,0.1984,0.2266,0.00599
KR,0.3172,0.1424,0.1048,0.1444,0.2912,-0.00054
OGN,0.3374,0.1194,0.0876,0.1194,0.3362,-0.00798
PG,0.1212,0.2672,0.2134,0.268,0.1302,0.0128
PPL,0.1216,0.264,0.2356,0.262,0.1168,0.01188
PRU,0.2342,0.1944,0.1428,0.192,0.2366,0.00365
PYPL,0.3652,0.097,0.0632,0.1,0.3746,-0.00943
RE,0.2278,0.1966,0.1446,0.193,0.238,-0.00357
ROL,0.2604,0.164,0.1222,0.184,0.2694,-0.00306
ROST,0.2876,0.1562,0.1172,0.1634,0.2756,-0.00872
UNH,0.1836,0.224,0.171,0.2274,0.194,0.00384
URI,0.3124,0.1438,0.0978,0.1414,0.3046,-0.00965
V,0.2704,0.1656,0.121,0.1658,0.2772,0.0022
VRSK,0.225,0.1956,0.1516,0.2034,0.2244,0.00032
WRK,0.285,0.1634,0.1134,0.163,0.2752,0.00035
XOM,0.2862,0.1602,0.1156,0.1554,0.2826,0.00459
IVV,0.106,0.2718,0.2436,0.2746,0.104,0.01522
IWM,0.2124,0.215,0.1536,0.2028,0.2162,0.00318
EWU,0.1218,0.2678,0.2382,0.2516,0.1206,0.01134
EWG,0.128,0.26,0.2244,0.2654,0.1222,0.00467
EWL,0.0904,0.2754,0.2668,0.2766,0.0908,0.01105
EWQ,0.1428,0.248,0.2156,0.2524,0.1412,0.00279
IEUS,0.1482,0.2492,0.2066,0.254,0.142,0.00296
EWJ,0.1362,0.2552,0.2078,0.265,0.1358,0.00977
EWT,0.2302,0.198,0.1534,0.2002,0.2182,0.00105
MCHI,0.2622,0.171,0.124,0.167,0.2758,0.00428
INDA,0.1692,0.2406,0.1856,0.2318,0.1728,0.01195
EWY,0.213,0.2088,0.1536,0.2138,0.2108,-0.00538
EWA,0.1584,0.2382,0.1972,0.2478,0.1584,0.0046
EWH,0.1154,0.2742,0.2352,0.2516,0.1236,0.01739
EWZ,0.2968,0.1492,0.1194,0.1462,0.2884,-0.00986
EWC,0.1382,0.252,0.2152,0.256,0.1386,0.01237
IEMG,0.1552,0.2506,0.188,0.2518,0.1544,0.0115
LQD,0.0046,0.2478,0.5042,0.2416,0.0018,0.03945
HYG,0.0,0.1466,0.718,0.1354,0.0,0.04587
SHY,0.0,0.0,1.0,0.0,0.0,0.05763
IEF,0.0012,0.2276,0.559,0.211,0.0012,0.04411
TLT,0.1168,0.2664,0.2342,0.2682,0.1144,0.02309
SEGA.L,0.2538,0.1826,0.1352,0.1832,0.2452,0.03822
IEAA.L,0.0,0.027,0.9516,0.0214,0.0,0.05394
HIGH.L,0.0,0.0898,0.8342,0.076,0.0,0.05064
JPEA.L,0.0026,0.244,0.5284,0.2238,0.0012,0.04105
IAU,0.4366,0.0446,0.0294,0.0502,0.4392,0.00016
SLV,0.2262,0.1956,0.149,0.2042,0.225,-0.00288
GSG,0.1992,0.224,0.1566,0.2214,0.1988,0.0108
REET,0.1076,0.2686,0.2438,0.2676,0.1124,0.00915
ICLN,0.2688,0.1786,0.119,0.1768,0.2568,0.0018
IXN,0.1962,0.2196,0.1704,0.218,0.1958,0.00211
IGF,0.077,0.2854,0.2768,0.283,0.0778,0.0137
IUVL.L,0.1734,0.2424,0.1778,0.2372,0.1692,0.00805
IUMO.L,0.2226,0.2058,0.146,0.2058,0.2198,7e-05
SPMV.L,0.0926,0.2886,0.2362,0.2928,0.0898,0.0171
IEVL.L,0.1512,0.2542,0.203,0.2484,0.1432,0.01219
IEFM.L,0.4936,0.005,0.0018,0.0032,0.4964,-1e-05
MVEU.L,0.0692,0.2932,0.2858,0.2854,0.0664,0.02121
XLK,0.1962,0.2248,0.161,0.222,0.196,0.00323
XLF,0.1778,0.23,0.178,0.2356,0.1786,0.00937
XLV,0.0768,0.2912,0.2572,0.2962,0.0786,0.01597
XLE,0.2818,0.1616,0.1186,0.165,0.273,0.00211
XLY,0.1908,0.227,0.1724,0.2184,0.1914,0.01282
XLI,0.1288,0.2634,0.2144,0.26,0.1334,0.01114
XLC,0.1562,0.2366,0.2046,0.2444,0.1582,0.01194
XLU,0.1142,0.275,0.2234,0.2626,0.1248,0.00466
XLP,0.0648,0.2852,0.2994,0.29,0.0606,0.01855
XLB,0.1474,0.246,0.206,0.2472,0.1534,0.00542
VXX,0.4136,0.0628,0.045,0.0672,0.4114,0.00886
